# time(ps) MSD_C MSD_Si
1760 46607.966577998085995 53584.71107833556016
1760.5 46625.196522604310303 53602.265627215623681
1761 46604.568538553598046 53595.333037208642054
1761.5 46545.923099517691298 53559.360236536216689
1762 46490.147410717079765 53502.791321595679619
1762.5 46501.924449223675765 53519.464777830078674
1763 46405.672113572909439 53429.21882580001693
1763.5 46312.166495902085444 53347.114280444075121
1764 46375.693059961944527 53418.878838839351374
1764.5 46430.173108475835761 53466.947203323237773
1765 46472.820677404422895 53519.878900618066837
1765.5 46328.802871430161758 53391.546404628556047
1766 46277.279901818925282 53341.098092420856119
1766.5 46376.044831986793724 53422.10816089407308
1767 46312.436615496102604 53371.138737724271778
1767.5 46384.787784628766531 53456.730460800885339
1768 46443.951993605136522 53521.729506337163912
1768.5 46546.11448711543926 53624.810672904677631
1769 46475.061046826318488 53556.472227951453533
1769.5 46542.812026681436691 53640.03015297017555
1770 46598.124323873700632 53697.004730355925858
1770.5 46543.665611888864078 53641.321176022625878
1771 46580.998681835582829 53691.739985972264549
1771.5 46614.029211080880486 53729.00982554397342
1772 46659.454967099234636 53779.093569939905137
1772.5 46649.345869434939232 53770.805356313314405
1773 46671.442219038799522 53782.756959532402107
1773.5 46788.062944307537691 53920.396323433487851
1774 46776.847141039506823 53919.054841516292072
1774.5 46807.538671940521454 53951.628509193411446
1775 46801.918852224749571 53957.977170066747931
1775.5 46840.640356500982307 54009.597053865261842
1776 46816.168895930335566 53988.988466134753253
1776.5 46815.365331750406767 54005.726892534461513
1777 46862.90550617815461 54070.235436542257958
1777.5 46886.978204275481403 54101.193049119552597
1778 46964.816991038707783 54167.886436056178354
1778.5 47026.514383284411451 54231.427001253250637
1779 47077.690133902884554 54292.168012157388148
1779.5 47131.944468678797421 54364.767978260315431
1780 47204.698035371933656 54442.941990483879636
1780.5 47174.044245559198316 54424.764283042146417
1781 47042.664742443208524 54283.02612102033163
1781.5 47027.92829407093086 54285.083673440880375
1782 47017.002831751175108 54290.484391427562514
1782.5 47014.904193839800428 54283.036171018778987
1783 46925.115194970698212 54203.406752461269207
1783.5 46848.564656134636607 54135.3687022879094
1784 46836.736885512749723 54135.892520621600852
1784.5 46773.462249384559982 54082.747337176602741
1785 46618.7504089185677 53925.543943302116531
1785.5 46641.579029758875549 53968.147312907829473
1786 46595.088940763271239 53933.469332277105423
1786.5 46582.689671593034291 53937.483995683949615
1787 46480.174318746983772 53825.063668350907392
1787.5 46528.786714011970616 53890.304804361971037
1788 46480.87592190754367 53847.20910480209568
1788.5 46482.935666131452308 53859.107743752363604
1789 46544.935294085240457 53934.349351533608569
1789.5 46493.331698438574676 53895.023703217462753
1790 46436.893755817785859 53852.984852551249787
1790.5 46460.971793271841307 53884.100301842925546
1791 46474.169487462415418 53917.238048061437439
1791.5 46365.849219083138451 53806.855375928396825
1792 46292.337744693846616 53743.106516641513736
1792.5 46381.73226633205195 53846.801006389287068
1793 46401.942092890574713 53877.300298546579143
1793.5 46420.507708401557466 53897.90208666651597
1794 46481.483703958736442 53951.867301311460324
1794.5 46433.14723251133546 53913.803247933159582
1795 46390.529451549555233 53887.253565247781808
